0,2,1,1,2,4,90,74,74,90,4,2,2,4,3,5
10,11,12,11,12,13,11,12,13,13,11,12,13,14,14,15
10,21,22,6,7,8,16,17,16,17,18,19,8,9,14,35
30,91,6,68,8,9,26,27,26,27,28,29,18,68,24,35
20,11,6,7,8,9,23,16,17,18,19,7,8,9,34,25
20,21,6,7,8,9,23,77,17,18,19,7,8,9,34,25
20,31,16,6,7,8,9,26,27,28,29,17,18,19,34,25
20,11,6,7,8,9,19,16,16,17,26,27,77,29,14,25
30,91,16,17,18,19,6,26,26,27,16,17,18,19,14,25
30,21,26,68,28,29,16,17,18,19,26,27,28,29,24,15
30,31,32,33,34,34,32,33,32,33,33,34,33,34,34,15
40,41,41,41,41,42,42,43,43,43,43,44,44,44,44,45

